기간	자치구	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	세대	합계	합계	합계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	세대당인구	65세이상고령자
기간	자치구	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2018.2/4	합계	4,241,547	10,089,517	4,935,944	5,153,573	9,814,049	4,802,769	5,011,280	275,468	133,175	142,293	2.31	1,393,671
2018.2/4	종로구	73,655	163,569	79,522	84,047	153,780	75,247	78,533	9,789	4,275	5,514	2.09	26,512
2018.2/4	중구	61,091	135,427	66,673	68,754	126,032	62,260	63,772	9,395	4,413	4,982	2.06	21,798
2018.2/4	용산구	108,516	245,245	119,963	125,282	229,677	111,078	118,599	15,568	8,885	6,683	2.12	37,331
2018.2/4	성동구	135,666	316,068	155,268	160,800	308,066	151,571	156,495	8,002	3,697	4,305	2.27	42,171
2018.2/4	광진구	161,294	370,519	179,621	190,898	355,748	173,216	182,532	14,771	6,405	8,366	2.21	44,806
2018.2/4	동대문구	160,757	364,527	180,126	184,401	348,903	174,128	174,775	15,624	5,998	9,626	2.17	56,675
2018.2/4	중랑구	179,690	410,296	203,711	206,585	405,551	201,803	203,748	4,745	1,908	2,837	2.26	60,618
2018.2/4	성북구	186,696	451,829	218,998	232,831	440,272	214,430	225,842	11,557	4,568	6,989	2.36	67,132
2018.2/4	강북구	143,187	326,063	159,219	166,844	322,385	157,769	164,616	3,678	1,450	2,228	2.25	57,401
2018.2/4	도봉구	137,560	344,096	168,282	175,814	341,928	167,465	174,463	2,168	817	1,351	2.49	54,969
2018.2/4	노원구	217,662	553,177	268,396	284,781	549,365	266,826	282,539	3,812	1,570	2,242	2.52	75,741
2018.2/4	은평구	203,547	489,045	236,802	252,243	484,642	234,905	249,737	4,403	1,897	2,506	2.38	76,097
2018.2/4	서대문구	137,725	323,261	154,145	169,116	311,280	150,131	161,149	11,981	4,014	7,967	2.26	49,935
2018.2/4	마포구	170,788	385,507	182,627	202,880	374,691	178,430	196,261	10,816	4,197	6,619	2.19	50,350
2018.2/4	양천구	176,234	471,026	232,087	238,939	467,151	230,322	236,829	3,875	1,765	2,110	2.65	56,742
2018.2/4	강서구	256,560	606,981	295,221	311,760	600,257	291,966	308,291	6,724	3,255	3,469	2.34	78,042
2018.2/4	구로구	171,882	440,305	220,880	219,425	407,235	202,016	205,219	33,070	18,864	14,206	2.37	60,564
2018.2/4	금천구	106,307	252,752	129,612	123,140	233,263	118,530	114,733	19,489	11,082	8,407	2.19	34,945
2018.2/4	영등포구	169,264	404,501	203,696	200,805	369,003	183,888	185,115	35,498	19,808	15,690	2.18	54,994
2018.2/4	동작구	174,427	407,275	197,984	209,291	394,788	192,296	202,492	12,487	5,688	6,799	2.26	58,133
2018.2/4	관악구	259,681	521,960	262,235	259,725	504,048	253,600	250,448	17,912	8,635	9,277	1.94	71,317
2018.2/4	서초구	174,268	443,989	212,679	231,310	439,844	210,596	229,248	4,145	2,083	2,062	2.52	54,614
2018.2/4	강남구	229,160	551,888	264,332	287,556	546,952	261,815	285,137	4,936	2,517	2,419	2.39	66,011
2018.2/4	송파구	268,325	673,161	327,051	346,110	666,439	323,741	342,698	6,722	3,310	3,412	2.48	79,093
2018.2/4	강동구	177,605	437,050	216,814	220,236	432,749	214,740	218,009	4,301	2,074	2,227	2.44	57,680